name,private,fork,archived,language,pushed_at,family,category,status,completion,real_utility,novel_concepts,u_n,description,one_liner,url,tags,salvage,notes
deterministic_knowledge_retrieval,True,False,False,Python,2025-10-13,Clinical / EM / PHI,clinical-EM-PHI,iteration,6,7,7,14,,"Vector-free multi-domain RAG: TOC/Loader/Verifier agents, TF-IDF routing, lossless citations, plus a library of TUHS antibiotic JSON knowledge packs.",https://github.com/deesatzed/deterministic_knowledge_retrieval,"rag, deterministic, antibiotics, explainability","Antibiotic knowledge packs (pneumonia.json, sepsis_unknown_origin.json, meningitis.json, abx_med_dose.json, …) | Agent trio: TOC + Loader + Answer/Verifier with token-budget 4000 | PHI/PII/residency policy hooks in the router | domain_agnositc_knowledge_pack.md adapter pattern",The knowledge packs are immediately reusable by tuhs-abx-steward. Router later extracted to self-improving-krs.
predictive-model-evaluator,False,False,False,TypeScript,2025-10-30,Clinical / EM / PHI,clinical-EM-PHI,iteration,6,7,7,14,,"Clinical-ops simulator that translates vendor AUROC/sens/spec into PPV, FP:TP workload, and an 'AUROC trap' warning at realistic prevalence.",https://github.com/deesatzed/predictive-model-evaluator,"auprc, vendor-eval, prevalence, education",AUROCTrap.tsx: high AUROC + low PPV auto-detect at low prevalence | VendorClaimEvaluator.tsx: sens/spec → FP:TP workload per 1000 | CapacityPlanner.tsx flagged/day vs capacity/day | Scenario presets for ICH and other EM use cases,Generic AI Studio README hides a very on-brand EM teaching tool. Public. Highest 'show this to a CMIO' utility after the ABX/HBR apps.
logvams,True,False,False,Python,2025-11-27,Infra / devops,data-pipelines,iteration,6,6,8,14,,"Log anomaly detector that uses critical slowing down (AR1+variance), Mahalanobis baselines, semantic entropy, and sparse Hopfield memory to warn before failure.",https://github.com/deesatzed/logvams,"logs, CSD, hopfield, anomaly, patent-disclosure",PhaseMonitor AR1+variance CSD early-warning (claimed 35.9-observation lead time) | Mahalanobis unlabeled baseline from astronomy-style multivariate distance | Semantic/structural entropy as a 'system is confused' novel-failure flag | PATENT_DISCLOSURE.md + PHYSICS_FOUNDATIONS_WHITEPAPER.md,Strongest applied-VAMS product idea. PATENT_DISCLOSURE present — treat IP carefully. 285/287 tests claimed.
stewardsim,False,False,False,Python,2026-08-14,Clinical / EM / PHI,clinical-EM,iteration,6,6,8,14,,Individual-level hospital antimicrobial-stewardship simulator that searches for min-regret empiric policies across unknown resistance mechanisms and non-random guideline adherence.,https://github.com/deesatzed/stewardsim,"antimicrobial-stewardship, abm, min-regret, antibiogram, temple","THEORY.md loop: individual empiric choice to pathogen population to next clinician optimum; not cycling-vs-mixing. | Min-regret under structural uncertainty + adherence-robustness curve (not optimum under one mechanism + perfect compliance). | src/stewardsim/{host,pathogen,policy,committee,balloon,scenario,importation,antibiogram}.py plus TUH/FCCC parked antibiograms. | Closed-form analytic-limit tests (tests/test_analytic_limits.py) as the honesty gate.",No README; GOAL/THEORY are the spec. Default branch feat/stewardsim-slice0. Later/fuller than genupop. Unique EM+SWE work.
ed-healthcare-alert-web,True,False,False,Python,2025-04-27,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,5,13,,"Flask/Gunicorn 'ID Alert Web' for ED infectious-disease advisories: dashboard, admin, PDF/MD upload with AI field extraction, OpenRouter model bakeoff, Heroku+Docker.",https://github.com/deesatzed/ed-healthcare-alert-web,"ed, public-health, flask, heroku, openrouter",Advisory schema + hospital-based internal protocol support (HOSPITAL_BASED_ADVISORIES.md). | Upload .md/.pdf → AI parse into title/category/content/key points (app.py + Check_Sources_Prompt.txt / new_prompt.txt). | /health and /self_test diagnostic endpoints — copy to other clinical apps. | config_manager.py for persisting AI source config across Heroku deploys.,Private; .github present; real Heroku ops history. Default admin/admin123 still in README — change before any deploy. Highest operational clinical utility with TUHSabxGuide.
TUHSabxGuide,True,False,False,TypeScript,2025-09-25,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,5,13,,"Next.js 15 / Prisma clinical CDS that walks TUHS clinicians through antibiotic choice (allergies, cultures, source, renal) with confidence tiers and optional AI panel.",https://github.com/deesatzed/TUHSabxGuide,"antibiotics, tuhs, nextjs, cds, jest","Stepwise assessment workflow: demographics → allergies → cultures → infection source → risk factors. | Renal-adjustment + recommendation-confidence updates (commit 2025-09-19). | Prisma patient-assessment model with SQLite-dev / Postgres-prod; Jest tests under __tests__. | Optional /api/ai-recommendations panel — keep as additive, not the source of truth.",Private TS; deployment + Heroku notes; designed to avoid storing PHI. Highest-utility clinical app in this batch alongside ABXorcist.
ED_Dispo_SDM,True,False,False,Python,2026-05-28,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,7,6,13,,6-step ED shared-decision wizard: operational metrics + non-PHI scenario -> Tavily evidence -> OpenRouter NodePack extraction -> clinician-adjustable probabilistic pathway projections (no recommendation).,https://github.com/deesatzed/ED_Dispo_SDM,"ED-disposition, shared-decision, NodePack, patient-facing-probabilities","NodePack schema: AI-extracted, clinician-reviewed probability nodes that the expert system may compute over but never rank/choose. | Dual rendering: clinician percentages-with-ranges vs patient 'about X in 100' framing. | Separation of clinical search query from operational context so ops never override judgment. | In-browser audit trail + JSON export; explicit non-goals (no payer/LOS/advice).","Private. README, tests, Docker, fly.toml, LICENSE. Last commits fix wizard navigation and scipy in container. Related to ClinicalAiForensics/PDDE."
eMedGen,True,False,False,C++,2026-08-23,Clinical / EM / PHI,clinical-genomics,iteration,7,7,6,13,,"DNAsed: privacy-first genomic health platform — local Rust parser, Tauri companion, Fly cloud API for abstracted clinical outputs; raw DNA never leaves the device.",https://github.com/deesatzed/eMedGen,"zero-knowledge, 23andme, pgs, tauri, fly.io, private","Architecture: secure_genome_parser (Rust) + local_desktop_bridge.py (127.0.0.1:18000) + cloud_backend FastAPI + desktop_companion Tauri. | Weekly evidence-refresh CI plus cloud-backend-tests and refs-tools-tests. | Validated SNP panels (153 SNPs + domain CSVs) and ClinVar import/curation_pipeline. | patent_dossier/ and INVESTOR_COMPETITIVE_BRIEF — IP framing to keep, not the zip/handoff clutter.","Private, ~89k disk, polyglot mess plus lots of handoff markdown. Live emedgen.fly.dev. Distinct from empty EmediGen."
AdmSVE,False,False,False,Python,2026-06-02,Clinical / EM / PHI,clinical-EM-PHI,iteration,6,7,6,13,,"Phase-1 synthetic admission-status engine: clinician FastAPI workflow that redacts PHI, round-trips OpenEvidence prose, and scores inpatient vs observation without inflating status.",https://github.com/deesatzed/AdmSVE,"admission-status, PHI-redaction, FCA-guardrail, OpenEvidence",Integrity gate in the LLM path that suppresses status-helping-but-not-independently-indicated actions and logs them (FCA guardrail). | Swappable PHI/PII redaction layer: deterministic floor plus optional gated OpenMed/RedaktR MCP backend before any cloud LLM. | 7-step localhost workflow: paste decision-time info -> redact -> run OE dotflow -> paste prose -> Tier-1/2/3 inpatient-LOS support. | Synthetic-only fixtures + no-leakage assert so the engine can be tested without InterQual/MCG text or real claims.,"Public, tests+pyproject+docs. Strong overlap with Case_Mgr_Claw; this is the more documented later slice."
careframe,False,False,False,TypeScript,2026-06-20,Clinical / EM / PHI,clinical-EM,iteration,6,7,6,13,,Mobile-first pre-visit brief PWA for patients and caregivers. Explicitly not a diagnosis or triage tool.,https://github.com/deesatzed/careframe,,Mobile-first pre-visit brief PWA for patients and caregivers. Explicitly not a diagnosis or triage tool.,Inspected via GitHub API (contents/README/commits/languages).
DNAsed,True,False,False,Python,2026-03-08,Clinical / EM / PHI,clinical-product,iteration,6,7,6,13,,Zero-knowledge consumer genomics: local Rust SNP/PGS parser plus Python desktop bridge plus Fly.io FastAPI/HTML shell so raw 23andMe/Ancestry files never leave the machine.,https://github.com/deesatzed/DNAsed,"genomics, zero-knowledge, Tauri, PGS",Data-diode: secure_genome_parser (Rust) plus local refs.db; only abstracted insights sync to Fly. | local_desktop_bridge.py FastAPI on localhost:18000 as the only path between web UI and raw genome. | Tauri v2 self-contained desktop installer removing the Python-bridge requirement. | 153-SNP curated panel plus curation_pipeline/ and OpenRouter health-coach backend.,"Private, 46MB. Messy but a real product shape; precisehealth/petgenix are siblings."
ersatz_rag,True,False,False,Python,2025-09-19,LLM / agents / tooling,LLM-agents-tooling,iteration,6,7,6,13,,"Umbrella RAG monorepo: Regulus policy bot + Cognitron local knowledge assistant, wiring PageIndex trees, LEANN vectors, and a 5-factor deepConf confidence gate.",https://github.com/deesatzed/ersatz_rag,"rag, confidence-gating, pageindex, leann, compliance","deepConf 5-factor scorer (semantic, authority, relevance, structure, model) with default 0.80 gate. | Version-aware policy retrieval + audit trail (Regulus). | PageIndex hierarchical PDF tree with chunking fallback (integrate, don't reimplement). | Cognitron local-first CLI (index/ask) and medical-grade calibration framing.",Private ~47MB. PageIndex and LEANN are upstream ideas; the distinctive combo is confidence-gating + versioned policy RAG. Docker-compose + tests dir present.
fractLrag,False,False,False,Python,2026-04-22,LLM / agents / tooling,LLM-RAG,iteration,7,6,7,13,,"Fractal Latent RAG: indexes sentence/paragraph/document levels, computes inter-level derivative signals, and adaptive-reranks with reported +10.4% MRR (p=0.036).",https://github.com/deesatzed/fractLrag,"fractal-retrieval, multi-scale, MRR","Three self-similar index levels plus derivative signals between levels. | retrieve_adaptive() query-type routing including synthesis diversity_boost. | Metadata filters, recency boost, domain routing. | HashEmbedding for tests; BGE-M3 SentenceTransformerEmbedding for real runs.","Public, tests, LICENSE. Small enough to port into CAM-RAG."
ClinicalAiForensics,True,False,False,Python,2026-05-13,Clinical / EM / PHI,clinical-EM-PHI,iteration,6,6,7,13,,PDDE Phase 0 decision-profile scaffold over synthetic CDEs and HF ED domain pack.,https://github.com/deesatzed/ClinicalAiForensics,"PDDE, HF-ED",CDE JSON + domain-pack YAML loaders. | Uncertainty-budget and VoI before sampling. | AI-answer mapping cannot modify priors. | Provenance JSONL + advisory Markdown.,Private. Tests + domain_packs. Submodules Agent_Pidgeon and ClinSafer.
redLTcMed,True,False,False,Python,2025-10-30,Clinical / EM / PHI,clinical-EM-PHI,iteration,6,6,7,13,,HIPAA-oriented medical text compressor (MedTOON) using ICD-10/RxNorm/CPT/LOINC codebooks plus a 10-stage semantic pipeline and hybrid RAG.,https://github.com/deesatzed/redLTcMed,"compression, medical-coding, rag, hipaa","Medical codebook compressors (ICD-10 275, RxNorm 210, CPT 85, LOINC 104) with synonym variants | 10-stage semantic pipeline (synonym canonicalization, JCAHO abbreviations, etc.) | Hot/cold partitioning with temporal decay for hybrid RAG (lsq_leann_hybrid*.py)",Clinical specialization of quantlsq. Lossless round-trip is the HIPAA-relevant claim — verify before reuse.
sentinel_arbiter,False,False,False,Python,2026-06-12,Clinical / EM / PHI,clinical-EM,iteration,6,6,7,13,,"Sentinel Governance Workbench: ED replay POC that asks whether an AI/human decision is warranted yet given missing info, harm horizon, correctability, and VOI of the next input.",https://github.com/deesatzed/sentinel_arbiter,"governance, voi, ed-replay, prudent-person, receipts","Warranted-yet checklist: known, missing-knowable, harm-soon, future-correction, AI-derived, next-input VOI, prudent layperson-provider-AI. | Shadow-mode/replay-mode on constructed ED inputs with node-audit + ensemble contribution normalization. | Clinician review console milestone (2026-06-12).",No CI. Large README. Related to clininfo-gate and Critical-E2AP. Not for production clinical use.
VAAS,False,False,False,Python,2025-12-17,LLM / agents / tooling,LLM-agents-tooling,iteration,6,6,7,13,verification as a service,Public 'Atoms of Thought' verification API: Decomposer/Verifier/Scorer logic gates that score agent output against ground truth without narrative reasoning.,https://github.com/deesatzed/VAAS,"evaluation, deterministic, medical-hallucination, agno",Three-atom pipeline (Decomposer → Verifier → Scorer) as a reusable eval contract | Medical hallucination example (Aspirin vs Penicillin allergy) as a gold fixture | Zero-leakage / no-narrative scoring philosophy — use as a gate on other agent repos,One of the more distinctive agent-eval ideas. Tests for schemas/scorer exist; API is Phase 1.
vams-coordination,True,False,False,Python,2025-11-06,LLM / agents / tooling,LLM-agents-tooling,iteration,6,6,7,13,,17-agent swarm (8 universal + 9 software-dev) on shared VAMS memory with an O(n) 4-phase orchestrator. README is stale; STATUS says 17/17 done.,https://github.com/deesatzed/vams-coordination,"multi-agent, hopfield, orchestration, adr","LinearCoordinationOrchestrator 4-phase: parallel recall → process → sequential learn → synthesis (core/coordinator.py) | ActionEncoder 456D → k-WTA sparse patterns (core/action_encoder.py) | 8 ADRs (O(n) coordination, Hopfield, typed edges, AEGIS compression) | Dev agent pack: architecture_reviewer, bug_detector, security_auditor, etc.",README still says 1/17; tree shows all agents + tests. Don't trust root README — STATUS.md is the source of truth.
mevisian,True,False,False,Python,2026-07-26,Clinical / EM / PHI,clinical-EM,iteration,5,6,7,13,,"Private clinician-supervised telemedicine sidecar that personalizes the encounter around this patient, not the physician style or the genome.",https://github.com/deesatzed/mevisian,"telemedicine, encounter-layer, consent-ledger, rxnorm, private",Thesis: most clinical AI personalizes the doctor or the biology; this models what this patient needs in the visit. | Structurally enforced physician approval of every patient-facing word. | Consent ledger + RxNorm connector; REGULATORY_ASSUMPTIONS.md non-device framing.,"Private, CI, uv.lock. README: not for clinical use."
moriah-omega,True,False,False,Python,2025-12-28,Clinical / EM / PHI,clinical-EM-PHI,incomplete,5,6,7,13,,"Dockerized FastAPI+React+TimescaleDB planner for the hospital '10/50' problem: high-cost revolving-door cohorts, KPIs, and (planned) ethical micro-trials.",https://github.com/deesatzed/moriah-omega,"hospital-finance, ethics, timescaledb, cohorts",10/50 problem framing (10% of patients drive 50% of margin loss) as a product thesis | KPI calculation engine (20+ utilization/financial metrics) in backend/ | High-cost cohort detection on PHI-scrubbed episodes | Planned ethical governor + micro-trial proposals (Phase 3–4) — idea is more valuable than the stub,Phase 0–1 only (dashboard + KPIs). Distinctive EM/ethics framing; do not lose the thesis even if code is early.
codec_ceiling,False,False,False,Python,2026-05-27,ML research,ML-research-legacy,iteration,8,5,8,13,,Reproducible experimental pipeline for a paper showing finite human-compatible symbolic descriptions lose task-relevant information vs direct measurement as system complexity grows.,https://github.com/deesatzed/codec_ceiling,"information-theory, preregistration, symbolic-vs-numeric, paper","Channel taxonomy in src/: direct CNN vs bottleneck vs quantile-binned symbolic (Q/Q_ord/Q_idx) vs embed-MLP. | Coupled-oscillator RK4 simulator (simulate.py) + 24 engineered features (features.py). | Preregistered confirmatory holdout (scripts/stage_h_h7_holdout.py, seed=2027) plus paired bootstrap CIs. | Paper #2 NL-channel prereg (PREREG_language_channel.md).","Public, LICENSE, configs, result artifacts, supplement PDF. Strong scientific hygiene. Not a product."
EIN_Sandbox,True,False,False,Python,2025-12-07,ML research,ML-research-legacy,iteration,6,5,8,13,,"Research package of four AR(1)-driven systems: MAI Evolution (energy-economics multi-agent), SYNAPSE router, K8S-CAPACITOR autoscaler, and an AI BS detector.",https://github.com/deesatzed/EIN_Sandbox,"AR1, critical-slowing-down, routing, k8s, ablation","AR(1) autocorrelation as a universal saturation/CSD signal across agents, routers, and k8s | SYNAPSE router validation notes (claimed 45% latency / 36% cost on real API calls) | Energy-economics survival pressure in mai_evolution/ | k8s_capacitor Go autoscaler using AR(1) for predictive scale","Highest novelty in the batch after VAMS/logvams. verify.sh exists; still a sandbox of four ideas, not a product."
